Year;"sptinc_z_US
Pre-tax national income
Top 1% | share
USA";"sptinc_z_GB
Pre-tax national income
Top 1% | share
United Kingdom";"sptinc_z_PT
Pre-tax national income
Top 1% | share
Portugal";"sptinc_z_IE
Pre-tax national income
Top 1% | share
Ireland";"sptinc_z_CA
Pre-tax national income
Top 1% | share
Canada";"sptinc_z_NO
Pre-tax national income
Top 1% | share
Norway";"sptinc_z_IT
Pre-tax national income
Top 1% | share
Italy";"sptinc_z_JP
Pre-tax national income
Top 1% | share
Japan";"sptinc_z_AU
Pre-tax national income
Top 1% | share
Australia";"sptinc_z_NZ
Pre-tax national income
Top 1% | share
New Zealand";"sptinc_z_SE
Pre-tax national income
Top 1% | share
Sweden";"sptinc_z_CH
Pre-tax national income
Top 1% | share
Switzerland";"sptinc_z_FR
Pre-tax national income
Top 1% | share
France";"sptinc_z_DE
Pre-tax national income
Top 1% | share
Germany";"sptinc_z_FI
Pre-tax national income
Top 1% | share
Finland";"sptinc_z_ES
Pre-tax national income
Top 1% | share
Spain";"sptinc_z_DK
Pre-tax national income
Top 1% | share
Denmark";"sptinc_z_NL
Pre-tax national income
Top 1% | share
Netherlands"
1945;0.1427;;;;0.0854;;;0.0706;0.104;0.1045;0.157;0.1172;0.0847;;0.1336;;0.1637;
1946;0.1429;;;;0.0906;;;;0.117;0.1138;0.1621;;0.1043;;0.1198;;0.1525;0.1269
1947;0.1498;;;;0.0929;;;0.081;0.1304;0.1172;0.139;0.1169;0.1071;;0.106;;0.1534;
1948;0.163;;;;0.0875;0.1506;;0.0861;0.1319;0.1182;0.1278;;0.0991;;0.11;;0.1421;
1949;0.157;0.1387;;;0.0902;0.1472;;0.0872;0.1389;0.1222;0.1238;0.1163;0.1027;0.0883;0.136;;0.1389;
1950;0.1671;;;;0.0918;0.145;;0.0847;0.1739;0.1421;0.1231;;0.1034;0.0932;0.1367;;0.1359;0.1189
1951;0.1601;0.1317;;;0.0844;0.1351;;0.0884;0.1114;0.1195;0.1193;0.1147;0.107;;0.1417;;0.1332;
1952;0.1496;0.1234;;;0.0828;0.1148;;0.0952;0.1098;0.1201;0.1106;;0.1096;;0.1497;;0.1302;0.1244
1953;0.1404;0.1176;;;0.0832;0.1182;;0.0906;0.1068;0.1201;0.1122;0.1148;0.1084;;0.1502;;0.1294;0.1183
1954;0.1394;0.117;;;0.0872;0.1136;;0.0875;0.0988;0.1157;0.1122;;0.1105;0.0877;0.1572;;0.1247;
1955;0.1463;0.1125;;;0.086;0.1193;;0.084;0.0925;0.1063;0.1101;0.1183;0.1126;;0.1577;;0.126;
1956;0.1381;0.1058;;;0.0811;;;0.09;0.0969;0.1086;0.108;;0.1096;;0.1623;;0.1289;
1957;0.1353;0.1052;;;0.0812;0.1305;;0.0942;0.086;0.1058;0.1106;0.1233;0.1123;0.1027;0.1621;;0.1191;0.1025
1958;0.1267;0.106;;;0.0834;0.1286;;0.0952;0.0906;0.0877;0.1106;;0.1036;;0.175;;0.124;0.1114
1959;0.1321;0.104;;;0.0821;0.1225;;0.0995;0.0846;0.0921;0.1136;0.1272;0.1122;;0.1767;;0.1258;0.1029
1960;0.1268;0.1073;;;0.0824;0.115;;0.104;0.0812;0.0906;0.1109;;0.1146;;0.1677;;0.1241;
