ISO,value,Kabul_78_Asia,Kabul_79_Asia,Vienna_45_Europa,Sofia_47_Europa,Beijing_46_Asia,Beijing_48_Asia,Beijing_49_Asia,Beijing_50_Asia,Beijing_89_Asia,Havanna_59_Americas,Havanna_62_Americas,Bonn_48_Europa,Bonn_48_Europa.1,Bonn_53_Europa,Bonn_60_Europa,Bonn_61_Europa,Athens_46_Europa,Budapest_56_Europa,PhnumPenh_70_Asia,PhnumPenh_75_Asia,Soul_50_Asia,Vientiane_62_Asia,Vientiane_75_Asia,Tripoli_69_Africa,Managua_79_Americas,Prague_48_Europa,Prague_68_Europa,Warsaw_45_Europa,Warsaw_56_Europa,Warsaw_81_Europa,Pyongyang_46_Asia,Pyongyang_50_Asia,Pyongyang_55_Asia,Pyongyang_69_Asia,SanSalvador_79_Americas,Taipei_58_Asia,HaNoi_54_Asia,HaNoi_54_Asia.1,HaNoi_68_Asia,HaNoi_75_Asia
BLZ,,13820.55184459,13820.55184459,9671.78948692944,10424.0580983002,13163.1534567248,13163.1534567248,13163.1534567248,13163.1534567248,13163.1534567248,934.280157467787,934.280157467787,8945.3713913513,,8945.3713913513,8945.3713913513,8945.3713913513,10697.3040338385,9894.34941552105,16484.5630740259,16484.5630740259,12882.5815015058,15917.1435265606,15917.1435265606,10054.207591162,625.399536927474,9461.73184857863,9461.73184857863,9788.64328487074,9788.64328487074,9788.64328487074,12818.5283678981,12818.5283678981,12818.5283678981,12818.5283678981,395.546320476413,14295.3313579714,15482.6351385195,,15482.6351385195,15482.6351385195
BMU,,11186.4653286624,11186.4653286624,6796.82912254517,7521.18010381641,12009.272429569,12009.272429569,12009.272429569,12009.272429569,12009.272429569,2004.52110887973,2004.52110887973,6078.41000853686,,6078.41000853686,6078.41000853686,6078.41000853686,7772.58106824541,7019.30428836248,15029.1651910664,15029.1651910664,12174.708502699,14283.8792689551,14283.8792689551,7132.25025980808,3131.20081604937,6601.97331443459,6601.97331443459,6975.06987043921,6975.06987043921,6975.06987043921,12032.9761078953,12032.9761078953,12032.9761078953,12032.9761078953,3225.59702102024,13623.70292796,14020.0896477696,,14020.0896477696,14020.0896477696
BOL,,15228.7133045939,15228.7133045939,10966.1467812119,11309.7593834701,17686.4646410912,17686.4646410912,17686.4646410912,17686.4646410912,17686.4646410912,5022.93289536929,5022.93289536929,10448.0648737984,,10448.0648737984,10448.0648737984,10448.0648737984,11204.9344690118,11139.1176716732,18683.2202544406,18683.2202544406,17637.8259592677,18747.8782718947,18747.8782718947,10116.8332719963,4149.73960805026,10900.8227645209,10900.8227645209,11411.2989819248,11411.2989819248,11411.2989819248,17552.2951773915,17552.2951773915,17552.2951773915,17552.2951773915,4472.82736072632,19051.6668346004,19076.8570260454,,19076.8570260454,19076.8570260454
BRA,,13457.5458262102,13457.5458262102,9510.79265494999,9721.0515091917,16932.481076303,16932.481076303,16932.481076303,16932.481076303,16932.481076303,5712.79344792448,5712.79344792448,9102.95974797707,,9102.95974797707,9102.95974797707,9102.95974797707,9541.22279105932,9655.00942187063,17058.1368858378,17058.1368858378,17539.8959147847,16884.5952439912,16884.5952439912,8432.9462727249,5237.371001479,9493.28090305533,9493.28090305533,10011.7016582578,10011.7016582578,10011.7016582578,17356.0667960612,17356.0667960612,17356.0667960612,17356.0667960612,5595.36174977242,18517.1912733561,17201.6213706097,,17201.6213706097,17201.6213706097
BRB,,12468.1668307648,12468.1668307648,7897.58923365225,8461.59126593195,14121.8867743512,14121.8867743512,14121.8867743512,14121.8867743512,14121.8867743512,2645.69424073856,2645.69424073856,7255.90367370134,,7255.90367370134,7255.90367370134,7255.90367370134,8549.36397002705,8104.85410231235,16794.9421472321,16794.9421472321,14354.1365272856,16060.6113869346,16060.6113869346,7636.26697026087,2896.71436369403,7764.3278976433,7764.3278976433,8230.29638581176,8230.29638581176,8230.29638581176,14206.6771452469,14206.6771452469,14206.6771452469,14206.6771452469,3201.74131993858,15783.269388798,15913.11741048,,15913.11741048,15913.11741048
BRN,,5737.02824785211,5737.02824785211,10239.5023285858,9777.61693049188,3881.17918680177,3881.17918680177,3881.17918680177,3881.17918680177,3881.17918680177,16386.2516824527,16386.2516824527,10827.5837340233,,10827.5837340233,10827.5837340233,10827.5837340233,9786.85960496689,10046.6124918863,1327.69200163407,1327.69200163407,3820.1586880896,1973.02502137517,1973.02502137517,10811.8754976437,17013.3907485516,10341.1281196136,10341.1281196136,9849.52521021549,9849.52521021549,9849.52521021549,3935.61893442379,3935.61893442379,3935.61893442379,3935.61893442379,16657.5740188712,2339.19798780363,2037.9528271343,,2037.9528271343,2037.9528271343
BTN,,2099.43650744051,2099.43650744051,6578.5848166714,6117.58942917122,2822.41201018562,2822.41201018562,2822.41201018562,2822.41201018562,2822.41201018562,14339.4656950193,14339.4656950193,7188.28763698792,,7188.28763698792,7188.28763698792,7188.28763698792,6159.98686382477,6382.71645189097,2376.99137302909,2376.99137302909,3655.73360544547,1696.83569294847,1696.83569294847,7224.64153006727,15598.9395342575,6690.28115993406,6690.28115993406,6210.38995064926,6210.38995064926,6210.38995064926,3573.08262884662,3573.08262884662,3573.08262884662,3573.08262884662,15447.2858014002,3192.55288837918,1793.03544289533,,1793.03544289533,1793.03544289533
BWA,,7986.34397707433,7986.34397707433,8125.90578797794,7462.07309379726,11763.9926089966,11763.9926089966,11763.9926089966,11763.9926089966,11763.9926089966,12813.1889605469,12813.1889605469,8553.70714086543,,8553.70714086543,8553.70714086543,8553.70714086543,6937.64918653302,8017.74189215071,9459.85819689347,9459.85819689347,12573.7106086068,9557.56710832541,9557.56710832541,6511.17245253386,12799.467108647,8356.32047148088,8356.32047148088,8530.74879171752,8530.74879171752,8530.74879171752,12508.6869408456,12508.6869408456,12508.6869408456,12508.6869408456,13156.7238049836,11667.0167314674,10014.4482496873,,10014.4482496873,10014.4482496873
CAF,,6184.99909136647,6184.99909136647,4860.53313050917,4269.86282494653,10367.6810027027,10367.6810027027,10367.6810027027,10367.6810027027,10367.6810027027,10936.4268361096,10936.4268361096,5247.63022550275,,5247.63022550275,5247.63022550275,5247.63022550275,3757.23217817839,4775.59746870621,9526.22682031665,9526.22682031665,11321.2593593566,9240.08477144372,9240.08477144372,3204.90105850888,11520.9326768503,5079.93773163663,5079.93773163663,5308.49519614394,5308.49519614394,5308.49519614394,11175.736353872,11175.736353872,11175.736353872,11175.736353872,11809.6052561079,11114.2532690298,9563.25261232158,,9563.25261232158,9563.25261232158
CAN,,10472.7795870903,10472.7795870903,6585.45005009929,7390.29969546308,10476.7602685823,10476.7602685823,10476.7602685823,10476.7602685823,10476.7602685823,2545.0618218367,2545.0618218367,5867.24815402492,,5867.24815402492,5867.24815402492,5867.24815402492,7763.70278930484,6800.86795202036,13692.5624207192,13692.5624207192,10537.1686692688,12983.095081857,12983.095081857,7413.05480169963,3822.8619737485,6350.34042970465,6350.34042970465,6595.6402837368,6595.6402837368,6595.6402837368,10408.6464952859,10408.6464952859,10408.6464952859,10408.6464952859,3740.29042013902,12009.4610668572,12644.1954493038,,12644.1954493038,12644.1954493038
CHE,,5250.40246562855,5250.40246562855,685.187519404259,1338.18953799035,8095.36801741496,8095.36801741496,8095.36801741496,8095.36801741496,8095.36801741496,8152.34329893716,8152.34329893716,421.988858211682,,421.988858211682,421.988858211682,421.988858211682,1662.89202065942,887.014621461741,9637.82366766972,9637.82366766972,8884.1883773582,8951.62197406626,8951.62197406626,1634.03747628275,9312.57909094774,621.667650599234,621.667650599234,1140.09635402069,1140.09635402069,1140.09635402069,8689.74944694319,8689.74944694319,8689.74944694319,8689.74944694319,9403.86553555577,9665.24930561438,8939.52524392102,,8939.52524392102,8939.52524392102
CHL,,16336.7578152619,16336.7578152619,12487.9175148517,12729.580870338,19059.0033207979,19059.0033207979,19059.0033207979,19059.0033207979,19059.0033207979,6382.85866684965,6382.85866684965,12026.4162354595,,12026.4162354595,12026.4162354595,12026.4162354595,12544.8036679407,12642.7082568363,17541.1963280411,17541.1963280411,18363.4965363331,18165.9467428019,18165.9467428019,11434.7392530964,5310.05803487136,12450.3287001126,12450.3287001126,12967.6057368386,12967.6057368386,12967.6057368386,18425.6308962225,18425.6308962225,18425.6308962225,18425.6308962225,5575.58321125249,18512.5860019674,18587.865189804,,18587.865189804,18587.865189804
CHN,,4184.02176021347,4184.02176021347,7479.23069219405,7370.67318230649,0,0,0,0,0,12760.6160558418,12760.6160558418,7843.31638415979,,7843.31638415979,7843.31638415979,7843.31638415979,7633.62599909534,7353.15256184842,3336.97636605902,3336.97636605902,955.768921729232,2770.38866562604,2770.38866562604,8736.14123335475,13786.8581901646,7475.13461068815,7475.13461068815,6959.10899176555,6959.10899176555,6959.10899176555,810.776616623736,810.776616623736,810.776616623736,810.776616623736,13509.8543915506,1718.23127372821,2320.31029011002,,2320.31029011002,2320.31029011002
CIV,,8162.39060883864,8162.39060883864,5024.64920828846,4867.02157192806,12120.8315388533,12120.8315388533,12120.8315388533,12120.8315388533,12120.8315388533,8402.33265042279,8402.33265042279,5003.28488210696,,5003.28488210696,5003.28488210696,5003.28488210696,4524.87006899502,5070.41205781447,12043.5090747083,12043.5090747083,13044.4423938327,11654.3495518529,11654.3495518529,3461.70878799861,8885.82288943999,5136.8671084522,5136.8671084522,5579.90448716289,5579.90448716289,5579.90448716289,12864.1184416745,12864.1184416745,12864.1184416745,12864.1184416745,9185.93459803487,13279.1003889291,11906.110812689,,11906.110812689,11906.110812689
CMR,,6832.83215084669,6832.83215084669,4935.60334773535,4457.56665569966,10996.0218427683,10996.0218427683,10996.0218427683,10996.0218427683,10996.0218427683,10244.8419465217,10244.8419465217,5211.37636614529,,5211.37636614529,5211.37636614529,5211.37636614529,3976.77124864373,4888.14838369854,10302.538074438,10302.538074438,11951.7696606523,10001.0497796957,10001.0497796957,3218.09928647353,10773.991269213,5130.03867733499,5130.03867733499,5432.68710278701,5432.68710278701,5432.68710278701,11796.8090236715,11796.8090236715,11796.8090236715,11796.8090236715,11070.9573368031,11836.4481929029,10312.6112105876,,10312.6112105876,10312.6112105876
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,,7086.54339581817,7086.54339581817,5814.6870312575,5264.37845520785,11264.1789830312,11264.1789830312,11264.1789830312,11264.1789830312,11264.1789830312,10981.6874348234,10981.6874348234,6144.83271865301,,6144.83271865301,6144.83271865301,6144.83271865301,4758.82382602689,5745.44240203977,10074.3398910782,10074.3398910782,12209.4077655644,9881.417512614,9881.417512614,4119.32176349205,11371.8456943561,6023.23068220211,6023.23068220211,6284.7455446401,6284.7455446401,6284.7455446401,12074.9523975915,12074.9523975915,12074.9523975915,12074.9523975915,11691.9806763137,11858.004894212,10245.8103610743,,10245.8103610743,10245.8103610743
COK,,15037.1226625851,15037.1226625851,16988.8497288409,17603.7422726875,10992.1792192285,10992.1792192285,10992.1792192285,10992.1792192285,10992.1792192285,9719.13811495293,9719.13811495293,16534.1257130749,,16534.1257130749,16534.1257130749,16534.1257130749,18114.8284016025,17087.607311211,11017.7640345735,11017.7640345735,10044.8094737569,11483.92753916,11483.92753916,18538.7049457202,8837.15335994856,16759.3809615557,16759.3809615557,16560.1795367855,16560.1795367855,16560.1795367855,10213.046126231,10213.046126231,10213.046126231,10213.046126231,8623.12315052904,9921.26377610684,11267.3601387142,,11267.3601387142,11267.3601387142
COL,,14217.0790435998,14217.0790435998,9660.39366281325,10266.1693640401,14956.0550822699,14956.0550822699,14956.0550822699,14956.0550822699,14956.0550822699,2230.16090206193,2230.16090206193,8989.05644073051,,8989.05644073051,8989.05644073051,8989.05644073051,10378.6483208211,9873.82257385374,18206.8013810924,18206.8013810924,14850.9498975017,17476.8641477051,17476.8641477051,9479.38499651964,1576.86992575745,9508.04609034082,9508.04609034082,9948.59696336812,9948.59696336812,9948.59696336812,14758.6797956591,14758.6797956591,14758.6797956591,14758.6797956591,1936.84832701948,16315.0395516654,17163.0358965672,,17163.0358965672,17163.0358965672
