ISO,value,Sofia_45_Europa,Sofia_47_Europa,Santiago_70_Americas,Beijing_49_Asia,Havanna_60_Americas,Havanna_60_Americas.1,AddisAbeba_77_Africa,Bonn_48_Europa,Bonn_49_Europa,Bonn_52_Europa,Bonn_54_Europa,Budapest_47_Europa,Budapest_48_Europa,Prague_45_Europa,Warsaw_47_Europa,Pyongyang_48_Asia,Pyongyang_49_Asia,Bucharest_45_Europa,Bucharest_47_Europa,Moscow_49_Europa,HaNoi_76_Asia,Belgrade_45_Europa
"",,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,
CMR,,4457.56665569966,4457.56665569966,9523.98387581542,10996.0218427683,10244.8419465217,,3065.11991619073,5211.37636614529,5211.37636614529,5211.37636614529,5211.37636614529,4888.14838369854,4888.14838369854,5130.03867733499,5432.68710278701,11796.8090236715,11796.8090236715,4716.35810502738,4716.35810502738,6207.20217127826,10312.6112105876,4620.33910435823
COD,,,,,,,,,,,,,,,,,,,,,,,
COG,,5264.37845520785,5264.37845520785,9375.4335568725,11264.1789830312,10981.6874348234,,2991.97107548598,6144.83271865301,6144.83271865301,6144.83271865301,6144.83271865301,5745.44240203977,5745.44240203977,6023.23068220211,6284.7455446401,12074.9523975915,12074.9523975915,5501.93235324538,5501.93235324538,6960.76293538458,10245.8103610743,5461.34031966557
COK,,17603.7422726875,17603.7422726875,8665.71535287036,10992.1792192285,9719.13811495293,,17623.0961229139,16534.1257130749,16534.1257130749,16534.1257130749,16534.1257130749,17087.607311211,17087.607311211,16759.3809615557,16560.1795367855,10213.046126231,10213.046126231,17372.3952649873,17372.3952649873,15908.2203051224,11267.3601387142,17385.1993149297
COL,,10266.1693640401,10266.1693640401,4231.35852674289,14956.0550822699,2230.16090206193,,12432.8273229377,8989.05644073051,8989.05644073051,8989.05644073051,8989.05644073051,9873.82257385374,9873.82257385374,9508.04609034082,9948.59696336812,14758.6797956591,14758.6797956591,10455.4820216406,10455.4820216406,10911.218571545,17163.0358965672,10006.2474075765
COM,,6356.4214217433,6356.4214217433,11431.8438769295,9440.2847616415,14149.6880679783,,2342.96798115804,7753.00847931889,7753.00847931889,7753.00847931889,7753.00847931889,6977.08158463008,6977.08158463008,7398.48057314129,7397.45918828624,10184.0917813114,10184.0917813114,6452.81529535288,6452.81529535288,7492.41501684831,7742.16104555265,6666.88534476122
CPV,,5413.07321755258,5413.07321755258,7325.33068262209,12659.3297263297,6222.96825954732,,6794.19875105904,4829.54903162631,4829.54903162631,4829.54903162631,4829.54903162631,5328.82298741223,5328.82298741223,5184.2838509146,5700.84692163742,13236.3313592517,13236.3313592517,5689.28230231855,5689.28230231855,6853.53647141599,13211.7111644598,5288.75274788516
CRI,,10654.5179447372,10654.5179447372,5006.24220700175,14099.3053514056,1472.56289513571,,13363.1156472972,9243.79249273381,9243.79249273381,9243.79249273381,9243.79249273381,10178.04644617,10178.04644617,9768.48704208841,10148.5432969455,13771.806242998,13771.806242998,10797.9094868822,10797.9094868822,10969.2076879271,16413.8028965165,10361.3732016775
CUB,,9490.18534215435,9490.18534215435,6382.85866684965,12760.6160558418,0,,12699.3595852836,8014.7486249368,8014.7486249368,8014.7486249368,8014.7486249368,8963.20599447124,8963.20599447124,8532.42386807142,8867.27359037064,12529.4150140321,12529.4150140321,9596.62991392244,9596.62991392244,9602.55815101605,15038.487052162,9178.88073006031
CYM,,9716.90643953918,9716.90643953918,5946.01934203262,13197.4312962547,437.114209738941,,12758.6360735281,8266.09319077751,8266.09319077751,8266.09319077751,8266.09319077751,9210.24901335085,9210.24901335085,8787.98587607022,9144.20381329862,12960.1157727443,12960.1157727443,9839.1731793131,9839.1731793131,9923.16462178632,15475.0428800452,9412.48337787306
CYP,,1204.92712285609,1204.92712285609,13209.600766696,7080.90182282184,10663.6366035464,,2949.09860163726,2728.01833367318,2728.01833367318,2728.01833367318,2728.01833367318,1806.63323771331,1806.63323771331,2258.42683205859,2134.2058251829,7840.00379256664,7840.00379256664,1200.63690656067,1200.63690656067,2309.87890414243,7142.73643232116,1533.18238713558
CZE,,1067.75975135008,1067.75975135008,12450.3287001126,7475.13461068815,8532.42386807142,,5079.61840235999,525.111691611357,525.111691611357,525.111691611357,525.111691611357,452.113891253302,452.113891253302,0,518.535027076712,8075.82450926049,8075.82450926049,1082.61185282302,1082.61185282302,1672.70522003438,8342.891138377,741.382572680178
DEU,,1320.08455850884,1320.08455850884,12503.5968104651,7377.47761537434,8373.95026534683,,5342.79157634069,478.206578619561,478.206578619561,478.206578619561,478.206578619561,695.301740072976,695.301740072976,279.716492174776,519.529129405735,7954.15637576752,7954.15637576752,1296.9015620927,1296.9015620927,1615.11959421117,8342.24270363415,1000.94532945166
DJI,,3945.0628688394,3945.0628688394,12919.746711479,7766.39036163274,12956.2420604304,,558.916105493482,5436.08811597831,5436.08811597831,5436.08811597831,5436.08811597831,4568.04285809842,4568.04285809842,5012.44703241975,4926.80529353012,8573.70078050527,8573.70078050527,3988.9007542278,3988.9007542278,4922.21278689598,6743.23798200588,4271.40700110593
DMA,,8445.58207623186,8445.58207623186,5482.48489628755,13888.4163395835,2366.29140649829,,10829.0942471359,7193.85211778033,7193.85211778033,7193.85211778033,7193.85211778033,8063.54373950835,8063.54373950835,7708.38516248167,8162.36492131868,13944.4665496801,13944.4665496801,8638.25865490644,8638.25865490644,9167.0592912015,15753.9102145775,8188.61548368157
DNK,,1639.07362845632,1639.07362845632,12606.9916750181,7219.41198371948,8212.85960878052,,5664.01241216695,660.688240936108,660.688240936108,660.688240936108,660.688240936108,1019.30317299627,1019.30317299627,635.383058649988,673.462512997283,7765.29804355483,7765.29804355483,1576.83317272703,1576.83317272703,1565.53457101755,8302.59889588008,1331.41212557336
DOM,,8898.45895320414,8898.45895320414,5745.92592045354,13507.5700685482,1390.81897308559,,11636.4258603828,7532.75477767665,7532.75477767665,7532.75477767665,7532.75477767665,8450.0255836802,8450.0255836802,8057.29165596718,8468.35153561488,13432.7324698025,13432.7324698025,9057.88929700407,9057.88929700407,9376.39013228144,15609.8322214761,8615.06900892255
DZA,,1851.47427961866,1851.47427961866,10901.2697736814,9129.22874031633,8120.27515707317,,4732.5426423498,1584.25284011275,1584.25284011275,1584.25284011275,1584.25284011275,1777.66644589988,1777.66644589988,1737.29372879808,2220.42673328533,9768.68815927419,9768.68815927419,2118.2248201328,2118.2248201328,3339.84003319732,9709.80641799072,1713.06498106775
ECU,,10994.0651056086,10994.0651056086,3767.86275980221,15358.7933695094,2617.2115739014,,13018.3004230363,9718.01550567519,9718.01550567519,9718.01550567519,9718.01550567519,10603.8547992759,10603.8547992759,10237.4385467659,10675.9884130862,15052.2673236392,15052.2673236392,11184.9125451766,11184.9125451766,11628.5066579597,17654.7341755957,10735.5595861769
EGY,,1571.68409200355,1571.68409200355,12796.6467088984,7558.76134827063,10804.1892609049,,2456.91158772117,3050.59416203092,3050.59416203092,3050.59416203092,3050.59416203092,2196.44696303729,2196.44696303729,2634.10115718226,2603.4508969143,8333.56387255411,8333.56387255411,1660.00114089645,1660.00114089645,2900.03997630421,7439.72439666108,1893.04988629519
ERI,,3379.48292241761,3379.48292241761,12740.4384404991,7872.12144679432,12347.7019537388,,700.300595915564,4851.17528784416,4851.17528784416,4851.17528784416,4851.17528784416,4004.2809921661,4004.2809921661,4443.03891276954,4389.81126620913,8682.8797272931,8682.8797272931,3445.77385990362,3445.77385990362,4485.69550978314,7059.4978161372,3701.95707048872
ESH,,,,,,,,,,,,,,,,,,,,,,,
ESP,,2259.00557011651,2259.00557011651,10679.7431474477,9243.84139328812,7450.81777790119,,5444.24792928445,1420.38831606106,1420.38831606106,1420.38831606106,1420.38831606106,1985.66994257552,1985.66994257552,1775.23118905461,2293.75629968979,9823.88549460636,9823.88549460636,2478.92718416042,2478.92718416042,3447.86956825118,10057.8904836668,2033.37659661026
EST,,1864.78183958443,1864.78183958443,13432.3202742541,6381.27407928084,8733.97530346712,,5718.31786953311,1477.70740440419,1477.70740440419,1477.70740440419,1477.70740440419,1380.40325700669,1380.40325700669,1231.76459826305,835.390969815349,6931.32197282956,6931.32197282956,1671.60967425366,1671.60967425366,870.416343132673,7516.93372656872,1652.1187746357
ETH,,4025.6655850433,4025.6655850433,12360.9759441859,8319.94082984057,12699.3595852836,,0,5463.33893699087,5463.33893699087,5463.33893699087,5463.33893699087,4649.28000484316,4649.28000484316,5079.61840235999,5056.77149395451,9128.09241502376,9128.09241502376,4111.76589205988,4111.76589205988,5185.30893929591,7289.22785224711,4341.93832422236
FIN,,1946.69653559615,1946.69653559615,13462.6141324128,6338.06802616685,8707.85853126633,,5792.50161532954,1532.63016425932,1532.63016425932,1532.63016425932,1532.63016425932,1461.27524808388,1461.27524808388,1304.03302276725,916.323659817802,6880.781458697,6880.781458697,1752.16784116467,1752.16784116467,894.976309463525,7500.94594530193,1734.00779814888
FLK,,13046.7394972863,13046.7394972863,2276.56697255802,18621.971097863,8628.03939379524,,11244.3986523211,12892.4604832489,12892.4604832489,12892.4604832489,12892.4604832489,13202.809836888,13202.809836888,13176.9004438214,13669.9209579586,18569.6758605096,18569.6758605096,13341.994242305,13341.994242305,14767.2352868196,16321.9947177258,13058.1345927271
FRA,,1761.4311941684,1761.4311941684,11625.8405119619,8237.77344997191,7730.8075786918,,5568.5362400954,400.637073329318,400.637073329318,400.637073329318,400.637073329318,1255.91707851825,1255.91707851825,884.426645791134,1370.24985366824,8793.56128099101,8793.56128099101,1874.94123831133,1874.94123831133,2493.67639874641,9212.34591258389,1448.22580248366
FRO,,2918.89272064204,2918.89272064204,12018.4546834216,7616.640713709,7011.16859820959,,6934.95404487251,1513.21023291592,1513.21023291592,1513.21023291592,1513.21023291592,2294.53616563645,2294.53616563645,1855.93245088355,1980.29834836038,8023.05137478303,8023.05137478303,2884.44432259109,2884.44432259109,2596.16713324351,9072.33691733743,2596.16661761925
GAB,,4886.79877585425,4886.79877585425,9118.75564880308,11422.5987032032,10184.9435979737,,3385.20441715423,5584.02234626317,5584.02234626317,5584.02234626317,5584.02234626317,5301.62228129322,5301.62228129322,5527.69397142165,5846.62816634101,12225.9444053913,12225.9444053913,5149.52500734272,5149.52500734272,6643.63319271184,10666.1903666726,5039.97328992557
GBR,,2018.92325997576,2018.92325997576,11648.5213037677,8161.99339943159,7502.12519915847,,5892.75062767316,513.08732923378,513.08732923378,513.08732923378,513.08732923378,1461.28146878448,1461.28146878448,1036.0483562884,1452.73366923517,8685.44382283655,8685.44382283655,2096.17933360029,2096.17933360029,2508.62829229061,9250.37342114516,1694.53905411663
GEO,,1772.82746272049,1772.82746272049,14379.1538910294,5861.79689329208,11008.4427517348,,3669.50931981639,3039.26999433004,3039.26999433004,3039.26999433004,3039.26999433004,2125.10226719092,2125.10226719092,2514.18713363702,2141.4504761534,6613.42356093681,6613.42356093681,1549.66324265408,1549.66324265408,1647.98517548929,6104.78066075667,1999.24978562926
GGY,,,,,,,,,,,,,,,,,,,,,,,
GHA,,4722.99479326902,4722.99479326902,8562.92234160308,11824.9047812193,8973.59059158385,,4317.81433853703,5053.97832871913,5053.97832871913,5053.97832871913,5053.97832871913,5000.04157259372,5000.04157259372,5122.32361994871,5529.33029992778,12592.91506599,12592.91506599,5012.75915482614,5012.75915482614,6495.04423717142,11448.353123621,4791.84284536474
GIB,,2560.42112012884,2560.42112012884,10264.5973862404,9695.57188923811,7407.49308623195,,5371.97065676113,1903.62761057338,1903.62761057338,1903.62761057338,1903.62761057338,2378.41120753523,2378.41120753523,2220.92138854747,2736.47492633127,10291.8076643034,10291.8076643034,2808.51197033503,2808.51197033503,3888.77907161585,10414.1355447164,2377.96925306201
GIN,,5144.12755102389,5144.12755102389,7669.31308206319,12513.2139047161,7428.86123456812,,5758.84158777883,4953.30300115913,4953.30300115913,4953.30300115913,4953.30300115913,5220.42368130084,5220.42368130084,5191.92223085068,5680.35970666756,13197.3745434911,13197.3745434911,5438.21611222519,5438.21611222519,6788.26634135622,12608.0182906959,5101.76799594432
GLP,,,,,,,,,,,,,,,,,,,,,,,
GMB,,5011.18749437536,5011.18749437536,7732.33625309102,12364.9923803449,6985.59190159641,,6049.97261065372,4656.62923697572,4656.62923697572,4656.62923697572,4656.62923697572,5018.27787189169,5018.27787189169,4942.14925074743,5445.66801103183,13008.4572887354,13008.4572887354,5299.53876313368,5299.53876313368,6578.97295550939,12668.2302716077,4932.19225662495
GNB,,5072.90267979008,5072.90267979008,7690.09858199039,12439.1775648401,7144.70634779329,,5949.81740250868,4779.54340158338,4779.54340158338,4779.54340158338,4779.54340158338,5106.17828162644,5106.17828162644,5047.86192659979,5546.33203677637,13098.2151870802,13098.2151870802,5363.8475805538,5363.8475805538,6671.29895123678,12663.8332107198,5007.66780603502
GNQ,,4548.70370945875,4548.70370945875,9264.45653311906,11232.3287605953,9970.04613067513,,3365.86590971675,5210.10768648362,5210.10768648362,5210.10768648362,5210.10768648362,4947.10994863749,4947.10994863749,5163.04407671755,5491.98186789737,12028.7172208413,12028.7172208413,4816.73087157225,4816.73087157225,6314.71668765183,10600.8331487796,4691.00622071719
GRC,,524.574227170067,524.574227170067,12544.8036679407,7633.62599909534,9763.79965009477,,3546.19313078378,1931.50390412344,1931.50390412344,1931.50390412344,1931.50390412344,1119.267570767,1119.267570767,1535.16021446208,1597.55743659226,8351.25145585379,8351.25145585379,743.630125285398,743.630125285398,2231.44914809479,7934.22381620179,806.590035772138
GRD,,8711.93210990676,8711.93210990676,5122.12746595191,14248.6313350663,2502.9142681516,,10938.3535946627,7493.21843042642,7493.21843042642,7493.21843042642,7493.21843042642,8348.84183061665,8348.84183061665,8003.81030279308,8465.85803410578,14295.9540791477,14295.9540791477,8913.10236581936,8913.10236581936,9486.68177353998,16105.3422696869,8463.15780480532
GRL,,5143.8995926358,5143.8995926358,10947.8423700391,8418.3071862599,5081.2166889292,,9133.59321046956,3670.25456894179,3670.25456894179,3670.25456894179,3670.25456894179,4522.23952333468,4522.23952333468,4076.29613260436,4211.48004696563,8560.3704416385,8560.3704416385,5120.11837971469,5120.11837971469,4651.6569174446,10361.6785349212,4817.31306006663
